"idnum","child_attend_kindergarten","povstatus","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1","c_neat_work_w3","c_curious_w3","c_interest_w3","f_youth_cor_w3","m_youth_cor_w3","f_quit_w4","m_quit_w4","father_fin_security_w234","mother_fin_security_w2345","hs_avg_score","child_edu_level"
1,"yes","high-income",8,5,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","black",NA,"No","No",26,29,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Attended some college"
2,"yes","low-income",NA,2,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2.5,"Attended some college"
3,"yes","high-income",8,NA,"Just enough","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",23,26,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Completed high school"
4,"yes","low-income",6,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",24,27,NA,NA,"Not true",NA,NA,NA,NA,"No","No",4,"Completed high school"
5,"no","low-income",NA,1,NA,"Just enough","Male","No","Neither parent attended college","white","hispanic","No","No",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Attended some college"
6,"yes","low-income",NA,4,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,26,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",3,"Completed high school"
7,NA,"high-income",NA,3,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",32,37,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Completed high school"
8,"no","low-income",NA,NA,"Just enough","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",21,19,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",2.25,"Did not complete high school"
9,"yes","low-income",3,6,"Just enough",NA,"Male","No","At least one parent attended college",NA,NA,NA,NA,"No",24,24,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"Yes","Yes",NA,"Did not complete high school"
10,"yes","high-income",NA,7,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",3.25,"Completed high school"
11,"yes","high-income",5,NA,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",18,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school"
12,"yes","low-income",5,1,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",19,18,NA,NA,"Not true","no",NA,NA,NA,"Yes","Yes",2.5,"Completed high school"
13,"yes","high-income",6,4,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",18,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.5,"Attended some college"
14,"yes","high-income",8,7,"Some","Just enough","Male","No","At least one parent attended college","white","black",NA,"No","No",23,22,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA
15,"yes","high-income",7,6,"Not enough","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",22,22,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.5,"Completed high school"
16,"yes","high-income",6,8,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",19,24,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.75,"Completed college"
17,NA,"high-income",NA,6,NA,"Some","Female","No","At least one parent attended college","black","hispanic",NA,"No",NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"yes","low-income",8,4,"Some","Not enough","Male","No","At least one parent attended college","white","white",NA,"No","No",28,27,NA,NA,"Somewhat or sometimes true","no",NA,NA,NA,"Yes","Yes",1.25,NA
19,"yes","low-income",NA,3,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,29,NA,NA,NA,"Very true or often true",NA,NA,NA,NA,NA,"Yes",1.75,"Completed high school"
20,"yes","high-income",7,7,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",26,28,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA
21,"yes","high-income",9,8,"Just enough",NA,"Female","No","At least one parent attended college","hispanic",NA,NA,"No","No",22,25,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",1.33333333333333,"Completed high school"
22,"yes","high-income",NA,NA,"Not enough","Not enough","Female","No","At least one parent attended college","black","black",NA,"No","No",19,24,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.25,"Completed college"
23,"yes","low-income",4,3,"Just enough","Just enough","Female","No","At least one parent attended college",NA,"hispanic",NA,"No","No",19,21,NA,NA,"Not true",NA,NA,"no",NA,"Yes","Yes",3.25,"Did not complete high school"
24,"yes","high-income",NA,6,NA,"Just enough","Female","No","At least one parent attended college","hispanic","black",NA,"No",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes",4,"Completed college"
25,NA,"high-income",NA,NA,NA,"Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",22,26,NA,NA,NA,"no",NA,NA,NA,"Yes","Yes",2,NA
26,NA,"high-income",NA,NA,"Not enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",18,31,NA,NA,"Not true",NA,NA,NA,NA,NA,"No",NA,NA
27,"no","low-income",6,1,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",20,19,NA,NA,"Not true",NA,NA,"no","no","Yes","Yes",2.5,"Completed high school"
28,"no","low-income",NA,1,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",39,44,NA,NA,"Not true",NA,NA,"no",NA,"No","Yes",2.25,"Completed high school"
29,"yes","high-income",NA,9,NA,"Just enough","Male","No","At least one parent attended college","white","white",NA,"No",NA,31,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,"Completed high school"
30,"yes","high-income",8,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",18,19,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school"
31,"yes","low-income",NA,5,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",18,18,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school"
32,NA,"low-income",NA,NA,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",29,29,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
33,"yes","low-income",NA,4,NA,"Some","Female","No","At least one parent attended college","black","black","No","No",NA,18,NA,NA,NA,"Not true",NA,"no",NA,NA,NA,"Yes",2.75,"Completed high school"
34,"yes","low-income",NA,6,"Some","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",29,28,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA
35,NA,"high-income",9,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",30,29,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
36,"yes","high-income",NA,5,NA,NA,"Male",NA,"At least one parent attended college","white","white",NA,"No",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3.75,"Completed college"
37,"yes","high-income",NA,7,NA,"Just enough","Male","Yes","At least one parent attended college","black","black","Yes","No",NA,21,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA
38,"yes","high-income",7,7,"Just enough","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","No",29,34,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
39,"yes","high-income",NA,NA,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3.25,NA
40,"yes","low-income",1,1,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",20,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.75,"Completed high school"
41,"yes","low-income",6,4,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",26,27,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","Yes",1.5,"Completed high school"
42,"yes","low-income",NA,5,NA,"Not enough","Female","No","Neither parent attended college","hispanic","hispanic","No","No",NA,21,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,NA,"Yes",2.25,"Completed high school"
43,"yes","high-income",NA,6,NA,"Some","Female","No","At least one parent attended college","black","black","No","No",NA,20,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",1.5,"Completed high school"
44,"yes","low-income",NA,2,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3.75,"Completed high school"
45,"no","low-income",NA,5,NA,"Just enough","Male","Yes","At least one parent attended college","hispanic","hispanic",NA,"No",NA,37,NA,NA,NA,"Not true",NA,"no",NA,"no","Yes","Yes",3.33333333333333,NA
46,"yes","high-income",3,6,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",20,25,NA,NA,"Not true","no",NA,"no",NA,"Yes","Yes",2,"Completed high school"
47,"no","high-income",6,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,21,NA,NA,NA,"no",NA,NA,"no","No","Yes",NA,"Completed high school"
48,"yes","low-income",NA,3,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,17,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2.25,"Completed high school"
49,"yes","high-income",8,8,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",28,30,NA,NA,NA,NA,NA,NA,NA,"No","No",4,"Completed high school"
50,NA,"high-income",NA,7,NA,"Some","Female","No","At least one parent attended college","white",NA,NA,"No",NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"yes","high-income",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",31,43,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
52,"yes","low-income",NA,2,NA,"Not enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,21,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school"
53,"yes","high-income",8,4,"Just enough","Some","Male","No","At least one parent attended college","white","black","No","No","No",25,32,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2,"Completed high school"
54,"yes","high-income",9,9,"Some",NA,"Male","No","At least one parent attended college","white","white",NA,"No","No",37,46,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,"no",NA,"No","No",4,"Completed college"
55,NA,"low-income",5,3,"Some",NA,"Female","No","At least one parent attended college",NA,NA,NA,NA,"No",30,38,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
56,"no","low-income",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",19,21,NA,NA,NA,NA,NA,NA,NA,"No","No",3.5,"Completed high school"
57,"yes","low-income",NA,1,NA,"Some","Female","No","Neither parent attended college","black","black","No","No",NA,19,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",NA,"Did not complete high school"
58,"yes","high-income",8,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",27,29,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.33333333333333,"Attended some college"
59,"yes","high-income",NA,NA,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic","No",NA,"Yes",16,25,"Not true","Very true or often true","Not true",NA,NA,NA,NA,"No","No",2.33333333333333,NA
60,"yes","low-income",4,6,"Just enough","Some","Male","No","Neither parent attended college",NA,NA,NA,"No","No",18,21,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2,"Completed high school"
61,"yes","low-income",5,4,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",25,27,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3.5,"Attended some college"
62,"yes","low-income",1,1,"Not enough","Just enough","Female","Yes","At least one parent attended college","black","black","Yes","No","No",23,26,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school"
63,"yes","low-income",NA,5,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,22,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3,"Attended some college"
64,"yes","low-income",3,1,"Just enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",26,31,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3,NA
